Bezirk,Himmelsrichtung,Ortsteil_heute,Strasse_historisch,Bemerkung
C 2,Centrum,Mitte,Königstraße/Heiligegeiststraße,Briefpostamt
N 3,Norden,Mitte,Oranienburger Straße 70-75,Paketpostamt
N 4,Norden,Mitte,Stettiner Bahnhof/Invalidenstraße 23,Hauptpostamt
NW 5,Nordwesten,Mitte,Perleberger Straße 53,
NW 6,Nordwesten,Mitte,Marienstraße 10,
NW 7,Nordwesten,Mitte,Dorotheenstraße 23/24,
W 8,Westen,Mitte,Taubenstraße 8/9,
W 9,Westen,Tiergarten,Potsdamer Bahnhof/Linkstraße 3/4,
W 10,Westen,Tiergarten,Lützowufer 13,
SW 11,Südwesten,Kreuzberg,Anhalter Bahnhof/Bahnhofstraße 2a,
SW 12,Südwesten,Mitte,Zimmerstraße 26-27,
SW 13,Südwesten,Kreuzberg,Alte Jakobstraße 169/170,
S 14,Süden,Kreuzberg,Dresdener Straße 55,
W 15,Westen,Wilmersdorf,Uhlandstraße 42,
SO 16,Südosten,Mitte,Cöpenicker Straße 122/132,
O 17,Osten,Friedrichshain,Schlesischer Bahnhof/Fruchtstraße 8-10,
NO 18,Nordosten,Friedrichshain,Lichtenberger Straße 22,
SW 19,Südwesten,Kreuzberg,Beuthstraße 18-21,
N 20,Norden,Gesundbrunnen,Stettiner Straße 55,
NW 21,Nordwesten,Moabit/Hansaviertel,Turmstraße 23/Lübecker Straße 1/2,
C 22,Centrum,Mitte,Rosenthaler Straße 56,
NW 23,Nordwesten,Hansaviertel,Lessingstraße 6,
N 24,Norden,Mitte,Oranienburger Straße 35/36,Postfuhramt
C 25,Centrum,Mitte,Am Königsgraben 17,
SO 26,Südosten,Kreuzberg,Adalbertstraße 94,
O 27,Osten,Mitte,Blumenstraße 64a/65,
N 28,Norden,Gesundbrunnen,Swinemünder Straße 96,
SW 29,Südwesten,Kreuzberg,Bergmannstraße 92,
W 30,Westen,Schöneberg,Neue Winterfeldtstraße 14,
N 31,Norden,Gesundbrunnen,Usedomstraße 9,
O 34,Osten,Friedrichshain,Petersburger Straße 89,
W 35,Westen,Tiergarten,Körnerstraße 7-10,
SO 36,Südosten,Kreuzberg,Görlitzer Bahnhof/Wiener Straße 33a,bis heute als Kiezname bekannt
N 37,Norden,Prenzlauer Berg,Schwedter Straße 263,
N 39,Norden,Wedding,Schulzendorfer Straße 26,
NW 40,Nordwesten,Moabit,Lehrter Bahnhof/Invalidenstraße 79,
S 42,Süden,Kreuzberg,Ritterstraße 7,
NO 43,Nordosten,Mitte,Neue Königstraße 70,
SW 47,Südwesten,Kreuzberg,Hagelberger Straße 49,
SW 48,Südwesten,Kreuzberg,Friedrichstraße 227,
W 50,Westen,Charlottenburg,Marburger Straße 7/12,
NW 52,Nordwesten,Moabit,Paulstraße 7,
N 54,Norden,Prenzlauer Berg,Lothringer Straße 44/45,
NO 55,Nordosten,Prenzlauer Berg,Winsstraße 19,
W 56,Westen,Mitte,Französische Straße 33d,
W 57,Westen,Schöneberg,Steinmetzstraße 21,
N 58,Norden,Prenzlauer Berg,Danziger Straße 3,
S 59,Süden,Kreuzberg,Böckhstraße 11,
SW 61,Südwesten,Kreuzberg,Tempelhofer Ufer 1,bis heute als Kiezname bekannt
W 62,Westen,Schöneberg,Landgrafenstraße 2,
N 65,Norden,Wedding,Nazarethkirchstraße 49a,bis heute als Kiezname bekannt
W 66,Westen,Mitte,Reichs-Postamt Mauerstraße 69-75,
O 67,Osten,Friedrichshain,Zentralviehhof,
SW 68,Südwesten,Kreuzberg,Lindenstraße 30,
NW 87,Nordwesten,Moabit,Beusselstraße 1/2,
O 112,Osten,Friedrichshain,Gabelsbergerstraße/Frankfurter Allee,
N 113,Norden,Prenzlauer Berg,Schönhauser Allee 105,
