Bezirk,Typ,Ortsteil_heute,Strasse,Bemerkung
C 2,Alt-Berlin,Mitte,Königstraße/Dircksenstraße,Briefpostamt
N 3,Alt-Berlin,Mitte,Oranienburger Straße 70,Paketpostamt
N 4,Alt-Berlin,Mitte,Stettiner Bahnhof/Zinnowitzer Straße,Hauptpostamt
NW 5,Alt-Berlin,Moabit,Perleberger Straße 59,
NW 6,Alt-Berlin,Mitte,Marienstraße 10,
NW 7,Alt-Berlin,Mitte,Dorotheenstraße 18,
W 8,Alt-Berlin,Mitte,Französische Straße 9-12,Hauptpostamt
W 9,Alt-Berlin,Tiergarten,Potsdamer Bahnhof/Linkstraße,
W 10,Alt-Berlin,Tiergarten,Genthiner Straße,
SW 11,Alt-Berlin,Kreuzberg,Anhalter Bahnhof/Möckernstraße,
SW 12,Alt-Berlin,Mitte,Zimmerstraße 26-28,
SW 13,Alt-Berlin,Kreuzberg,Alte Jakobstraße 170,
S 14,Alt-Berlin,Kreuzberg,Dresdener Straße,
W 15,Alt-Berlin,Wilmersdorf,Lietzenburger Straße 35,
SO 16,Alt-Berlin,Mitte,Köpenicker Straße 122/132,
O 17,Alt-Berlin,Friedrichshain,Schlesischer Bahnhof/Fruchtstraße,Hauptpostamt
NO 18,Alt-Berlin,Friedrichshain,Lichtenberger Straße 19,
SW 19,Alt-Berlin,Kreuzberg,Kommandantenstraße 7-9,
N 20,Alt-Berlin,Gesundbrunnen,Osloer Straße 18,ehem. Christianiastraße
NW 21,Alt-Berlin,Moabit/Hansaviertel,Turmstraße 23/Lübecker Straße,
N 24,Alt-Berlin,Mitte,Oranienburger Straße 35/36,Postfuhramt
C 25,Alt-Berlin,Mitte,Am Königsgraben/Alexanderplatz,
SO 26,Alt-Berlin,Kreuzberg,Adalbertstraße 94,
O 27,Alt-Berlin,Mitte,Blumenstraße,
SW 29,Alt-Berlin,Kreuzberg,Bergmannstraße 92,
W 30,Alt-Berlin,Schöneberg,Geisbergstraße 7-9,
N 31,Alt-Berlin,Gesundbrunnen,Usedomer Straße 9,
O 34,Alt-Berlin,Friedrichshain,Petersburger Straße 89/Boxhagener Straße,
W 35,Alt-Berlin,Tiergarten,Körnerstraße 7-10,
SO 36,Alt-Berlin,Kreuzberg,Skalitzer Straße 86-92,bis heute bekannt als SO36
NW 40,Alt-Berlin,Moabit,Lehrter Bahnhof/Invalidenstraße 79,
S 42,Alt-Berlin,Kreuzberg,Ritterstraße 6/7,
NO 43,Alt-Berlin,Mitte,Neue Königstraße 70,
SW 47,Alt-Berlin,Kreuzberg,Hagelberger Straße/Kreuzbergstraße,
W 50,Alt-Berlin,Charlottenburg,Marburger Straße 12,
N 54,Alt-Berlin,Prenzlauer Berg,Lothringer Straße (Wilhelm-Pieck-Straße),
NO 55,Alt-Berlin,Prenzlauer Berg,Marienburger Straße 18/19,
W 56,Alt-Berlin,Mitte,Französische Straße 33,
W 57,Alt-Berlin,Schöneberg,Steinmetzstraße 21,
N 58,Alt-Berlin,Prenzlauer Berg,Eberswalder Straße 6-9,Hauptpostamt Ost
S 59,Alt-Berlin,Kreuzberg,Böckhstraße 11,
SW 61,Alt-Berlin,Kreuzberg,Tempelhofer Ufer 1,bis heute bekannt als SW61
W 62,Alt-Berlin,Schöneberg,Kurfürstenstraße 75,
N 65,Alt-Berlin,Wedding,Gerichtstraße 50/51,bis heute bekannt als 65
W 66,Alt-Berlin,Mitte,Mauerstraße 69-75,Reichspostamt
O 67,Alt-Berlin,Friedrichshain,Eldenaer Straße/Zentralviehhof,
SW 68,Alt-Berlin,Kreuzberg,Lindenstraße 30/Ritterstraße,
NW 87,Alt-Berlin,Moabit,Beusselstraße/Levetzowstraße,
O 112,Alt-Berlin,Friedrichshain,Gabelsbergerstraße 16,
N 113,Alt-Berlin,Prenzlauer Berg,Bornholmer Straße 6,
Berlin-Adlershof,Vorort,Adlershof,Radickestraße (Peter-Kast-Straße),
Berlin-Baumschulenweg,Vorort,Baumschulenweg,Rinkartstraße 5-9,
Berlin-Biesdorf 1,Vorort,Biesdorf,Oberfeldstraße,
Berlin-Biesdorf 2,Vorort,Biesdorf,Gleiwitzer Straße,
Berlin-Blankenburg,Vorort,Blankenburg,Alt-Blankenburg 43,
Berlin-Blankenfelde,Vorort,Blankenfelde,Hauptstraße,
Berlin-Bohnsdorf,Vorort,Bohnsdorf,Dorfplatz,
Berlin-Borsigwalde,Vorort,Borsigwalde,Jacobsenweg,
Berlin-Britz 1,Vorort,Britz,Britzer Damm (Chausseestraße),
Berlin-Britz 2,Vorort,Britz,Onkel-Herse-Straße/Buschkrugallee,
Berlin-Buch,Vorort,Buch,Wiltbergstraße,
Berlin-Buchholz,Vorort,Französisch Buchholz,Berliner Straße 8,
Berlin-Buckow,Vorort,Buckow,Buckower Damm/Alt-Buckow,
Berlin-Charlottenburg 1,Vorort,Charlottenburg,Berliner Straße 62-64 (Otto-Suhr-Allee),Hauptpostamt
Berlin-Charlottenburg 2,Vorort,Charlottenburg,Goethestraße 2/3,
Berlin-Charlottenburg 3,Vorort,Charlottenburg,Bismarckstraße/Windscheidstraße,
Berlin-Charlottenburg 4,Vorort,Charlottenburg,Leibnizstraße 37/38,
Berlin-Charlottenburg 5,Vorort,Charlottenburg,Schloßstraße/Spandauer Damm,
Berlin-Charlottenburg 6,Vorort,Charlottenburg,Dernburgstraße,
Berlin-Charlottenburg 9,Vorort,Charlottenburg,Soorstraße 61/62,
Berlin-Dahlem,Vorort,Dahlem,Königin-Luise-Straße 31,
Berlin-Eichkamp,Vorort,Westend,Eichkampstraße,
Berlin-Falkenberg,Vorort,Falkenberg,Dorfstraße,
Berlin-Friedenau 1,Vorort,Friedenau,Handjerystraße 33-36,
Berlin-Friedenau 2,Vorort,Friedenau,Cranachstraße,
Berlin-Friedenau 3,Vorort,Friedenau,Bundesallee 96,
Berlin-Friedrichsfelde,Vorort,Friedrichsfelde,Alt-Friedrichsfelde 105,
Berlin-Friedrichshagen,Vorort,Friedrichshagen,Bölschestraße 69a,
Berlin-Frohnau 1,Vorort,Frohnau,Ludolfinger Platz,
Berlin-Gatow,Vorort,Gatow,Alt-Gatow/Gatower Straße,
Berlin-Grunewald,Vorort,Grunewald,Bismarckallee,
Berlin-Grünau,Vorort,Grünau,Wassersportallee,
Berlin-Halensee,Vorort,Halensee,Cicerostraße,ab 1952 Grunewald 2
Berlin-Heiligensee,Vorort,Heiligensee,Alt-Heiligensee,
Berlin-Heinersdorf,Vorort,Heinersdorf,Berliner Straße,
Berlin-Hermsdorf,Vorort,Hermsdorf,Heinsestraße,
Berlin-Hohenschönhausen,Vorort,Hohenschönhausen,Werneuchener Straße,
Berlin-Johannisthal,Vorort,Johannisthal,Königsheideweg,
Berlin-Karlshorst,Vorort,Karlshorst,Ehrenfelsstraße,
Berlin-Karow,Vorort,Karow,Bahnhofstraße,
Berlin-Kaulsdorf,Vorort,Kaulsdorf,Mädewalder Weg,
Berlin-Kladow,Vorort,Kladow,Sakrower Landstraße,
Berlin-Konradshöhe,Vorort,Konradshöhe,Spechtstraße,
Berlin-Köpenick 1,Vorort,Köpenick,Bahnhofstraße (Lindenstraße),Hauptpostamt
Berlin-Köpenick 2,Vorort,Köpenick,Kaiser-Wilhelm-Straße,
Berlin-Lankwitz,Vorort,Lankwitz,Leonorenstraße,
Berlin-Lichtenberg 1,Vorort,Lichtenberg,Dottistraße 12-16,Hauptpostamt
Berlin-Lichtenberg 2,Vorort,Lichtenberg,Frankfurter Allee,
Berlin-Lichtenrade,Vorort,Lichtenrade,Lichtenrader Damm,
Berlin-Lichterfelde 1,Vorort,Lichterfelde,Hindenburgdamm 1,
Berlin-Lichterfelde 2,Vorort,Lichterfelde,Bismarckstraße (Morgensternstraße),
Berlin-Lichterfelde 3,Vorort,Lichterfelde,Drakestraße,
Berlin-Lichterfelde 4,Vorort,Lichterfelde,Gélieustraße/Roonstraße,
Berlin-Lichterfelde 5,Vorort,Lichterfelde,Ostpreußendamm,
Berlin-Lübars,Vorort,Lübars,Fritz-Reuter-Straße,
Berlin-Mahlsdorf,Vorort,Mahlsdorf,Hultschiner Damm,
Berlin-Malchow,Vorort,Malchow,Dorfstraße,
Berlin-Mariendorf,Vorort,Mariendorf,Königstraße (Mariendorfer Damm),
Berlin-Marienfelde,Vorort,Marienfelde,Lange Straße,
Berlin-Marzahn,Vorort,Marzahn,Alt-Marzahn,
Berlin-Müggelheim,Vorort,Müggelheim,Alt-Müggelheim,
Berlin-Neukölln 1,Vorort,Neukölln,Richardstraße/Karl-Marx-Straße,Hauptpostamt
Berlin-Neukölln 2,Vorort,Neukölln,Zwiestädter Straße,
Berlin-Niederschönhausen,Vorort,Niederschönhausen,Grabbeallee,
Berlin-Nikolassee,Vorort,Nikolassee,Rheinbabenallee,
Berlin-Oberschöneweide,Vorort,Oberschöneweide,Fennstraße 9-11,
Berlin-Pankow 1,Vorort,Pankow,Breite Straße,Hauptpostamt
Berlin-Pankow 2,Vorort,Pankow,Residenzstraße,
Berlin-Rahnsdorf,Vorort,Rahnsdorf,Fürstenwalder Allee,
Berlin-Reinickendorf,Vorort,Reinickendorf,Residenzstraße,
Berlin-Rosenthal,Vorort,Rosenthal,Hauptstraße,
Berlin-Rudow,Vorort,Rudow,Neuköllner Straße,
Berlin-Ruhleben,Vorort,Ruhleben,Freiheit,
Berlin-Rummelsburg,Vorort,Rummelsburg,Nöldnerstraße,ab 1950 Lichtenberg 4
Berlin-Schlachtensee,Vorort,Schlachtensee,Breisgauer Straße,
Berlin-Schmargendorf,Vorort,Schmargendorf,Breite Straße,
Berlin-Schmöckwitz,Vorort,Schmöckwitz,Berliner Straße,
Berlin-Schöneberg 1,Vorort,Schöneberg,Hauptstraße 27-29,Hauptpostamt
Berlin-Schöneberg 2,Vorort,Schöneberg,Naumannstraße,
Berlin-Schöneberg 3,Vorort,Schöneberg,Meeraner Straße/Grunewaldstraße,
Berlin-Siemensstadt,Vorort,Siemensstadt,Goebelstraße,
Berlin-Spandau 1,Vorort,Spandau,Carl-Schurz-Straße 13-19,Hauptpostamt
Berlin-Spandau 2,Vorort,Spandau,Wansdorfer Platz,
Berlin-Spandau 3,Vorort,Spandau,Elisabethstraße,
Berlin-Spandau 4,Vorort,Spandau,Brüderstraße,
Berlin-Spandau 5,Vorort,Spandau,Weinmeisterhornweg,
Berlin-Staaken,Vorort,Staaken,Hauptstraße,
Berlin-Steglitz 1,Vorort,Steglitz,Schloßstraße,Hauptpostamt
Berlin-Steglitz 2,Vorort,Steglitz,Birkbuschstraße,
Berlin-Südende,Vorort,Steglitz,Mariendorfer Straße,
Berlin-Tegel 1,Vorort,Tegel,Berliner Straße 33,
Berlin-Tegel 2,Vorort,Tegel,Allmendeweg,
Berlin-Tegelort,Vorort,Tegelort,Jörsstraße,
Berlin-Tempelhof 1,Vorort,Tempelhof,Theodor-Francke-Straße,Hauptpostamt
Berlin-Tempelhof 2,Vorort,Tempelhof,Manfred-von-Richthofen-Straße,
Berlin-Tempelhof 3,Vorort,Tempelhof,Boelckestraße,
Berlin-Tempelhof 4,Vorort,Tempelhof,Germaniastraße,
Berlin-Treptow,Vorort,Alt-Treptow,Treptower Park,
Berlin-Waidmannslust,Vorort,Waidmannslust,Bondickstraße,
Berlin-Wannsee 1,Vorort,Wannsee,Am Sandwerder,
Berlin-Weißensee 1,Vorort,Weißensee,Charlottenburger Straße (Berliner Allee),Hauptpostamt
Berlin-Weißensee 2,Vorort,Weißensee,Bernkasteler Straße,
Berlin-Wilhelmshagen,Vorort,Wilhelmshagen,Eichhornstraße,
Berlin-Wilhelmsruh,Vorort,Wilhelmsruh,Hauptstraße,
Berlin-Wilmersdorf 1,Vorort,Wilmersdorf,Blissestraße,Hauptpostamt
Berlin-Wilmersdorf 2,Vorort,Wilmersdorf,Limastraße,
Berlin-Wittenau,Vorort,Wittenau,Roedernallee,
Berlin-Zehlendorf 1,Vorort,Zehlendorf,Teltower Damm,Hauptpostamt
Berlin-Zehlendorf 2,Vorort,Zehlendorf,Potsdamer Straße,
